country,code,region,year,spending,life_expectancy
Ukraine,UKR,Central and Eastern Europe,2014,800,71.8
Ukraine,UKR,Central and Eastern Europe,2015,819,72.7
Ukraine,UKR,Central and Eastern Europe,2016,871,73.4
Ukraine,UKR,Central and Eastern Europe,2017,911,74.0
Ukraine,UKR,Central and Eastern Europe,2018,965,73.6
Ukraine,UKR,Central and Eastern Europe,2019,996,73.9
Ukraine,UKR,Central and Eastern Europe,2020,1161,73.3
Ukraine,UKR,Central and Eastern Europe,2021,1512,71.6
United Kingdom,GBR,Western Europe,2011,3456,80.7
United Kingdom,GBR,Western Europe,2012,3630,80.8
United Kingdom,GBR,Western Europe,2013,3691,80.9
United Kingdom,GBR,Western Europe,2014,3787,81.1
United Kingdom,GBR,Western Europe,2015,3848,80.9
United Kingdom,GBR,Western Europe,2016,3997,81.0
United Kingdom,GBR,Western Europe,2017,4102,81.1
United Kingdom,GBR,Western Europe,2018,4223,81.0
United Kingdom,GBR,Western Europe,2019,4573,81.4
United Kingdom,GBR,Western Europe,2020,5409,80.3
United Kingdom,GBR,Western Europe,2021,5824,80.5
United Kingdom,GBR,Western Europe,2022,6274,80.9
United States,USA,Americas,2011,8073,78.7
United States,USA,Americas,2012,8339,78.8
United States,USA,Americas,2013,8512,78.8
United States,USA,Americas,2014,8928,78.9
United States,USA,Americas,2015,9360,78.7
United States,USA,Americas,2016,9727,78.7
United States,USA,Americas,2017,10045,78.6
United States,USA,Americas,2018,10486,78.7
United States,USA,Americas,2019,10922,78.8
United States,USA,Americas,2020,12077,77.0
United States,USA,Americas,2021,12524,76.4
United States,USA,Americas,2022,13062,77.5
